program,willingness_to_pay,government_net_costs,reform_valuation,net_income_increase,program_cost,tax_revenue_increase,education_cost,prices_year,mvpf,bafoeg_valuation,bafoeg_cost,bafoeg_repayment,private_safer_traffic_valuation,utility_loss_helmet,helmet_cost,co2_emission_reducation,private_health_cost,value_added_tax_loss,public_health_cost,public_safer_traffic_valuation,valuation_lower_risk_of_dying,income_loss,earlier_labor_market_participation_net_income,earlier_labor_market_participation_tax_revenue,child_care_cost_reduction,benefit_receipt,tax_revenue_increase_children,cost_increased_travel_time,private_fuel_cost_saving,energy_tax_loss,local_emission_reduction,fiscal_externality,valuation_reduced_risk,government_net_costs_per_program_cost,willingness_to_pay_per_program_cost,fiscal_externality_per_euro,program_name,year,category,average_age_beneficiary,short_description,average_earnings_beneficiary,notes,Papers,Links
bafoeg2001,3654.148906,1958.768424,1814.30779,1839.841116,1856.830629,0,101.9377954,2001,1.865533904,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.054898812,1.967949499,0.054898812,Bafög Refrom 2001,2001,Education,19.421,"Bafög is a means-tested public German student loan program. Eligible students only have to pay back about 50% of the loan. In 1990, the threshold of parents' income above which students are no longer eligible for Bafög was lowered.",NA,NA,Baumgartner & Steiner (2006),https://ideas.repec.org/p/iza/izadps/dp2034.html
bafoegRepayment,33045.69899,11787.18866,NA,23233.02864,9812.670346,0,1375.52012,1990,2.803526772,9812.670346,598.9981972,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.201221303,3.367656084,0.201221303,Bafög 50% Repayment Reform,1990,Education,19.81,Bafög is a means-tested public German student loan program. Until 1990 students had to repay the entire loan. After the reform about 50% of the loan was offered as a grant which does not have to be payed back.,NA,NA,Baumgartner & Steiner (2004),https://ideas.repec.org/p/diw/diwwpp/dp444.html
BestUpInformationWorkshop,37861.65644,2811.387123,NA,36662.26951,5.959390863,0,1600.081413,2013,13.46725114,NA,2247.359606,-1047.972678,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,471.7574644,6353.276251,470.7574644,Best Up College Information Workshop,2013,Education,19,A group of researchers  studied the effect of providing information about the benefits of college education to high school students one year prior to graduation.,NA,NA,Peter et. al. (2018),https://ideas.repec.org/p/diw/diwwpp/dp1770.html
bicycleHelmet,-458369162,-61789274.97,NA,NA,NA,NA,NA,2012,7.418264128,NA,NA,NA,912176445.9,-273114492.8,-324761137,-4885980.353,-767783997.8,-61789274.97,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Mandatory Bicycle Helmet Law,2012,Traffic Regulation,NA,Potential introduction of a law which would mandate that every bicycle rider has to wear a helmet,NA,NA,Sieg (2014);Elvik (2013),"https://ideas.repec.org/p/mut/wpaper/21.html;https://academic.microsoft.com/paper/2110952839
"
bridgingAllowance,34311.94229,14773.65269,NA,34311.94229,14773.65269,0,NA,2003,2.322509064,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2.322509064,0,Bridging Allowance,2003,Labor Market Policy,40.17,"The bridging allowance ""Überbrückungsgeld"" was a subsidy equal to the potential unemployment benefit payed to start up founders who would otherwise have been eligible for unemployment benefits. The briding allowance was payed for 6 months.",2189.362,NA,Caliendo & Künn (2011),https://ideas.repec.org/a/eee/pubeco/v95y2011i3p311-331.html
classRoomTraining,7103.702795,6232.790989,NA,7103.702795,6232.790989,0,NA,2000,1.139730629,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1.139730629,0,Class Room Training,2000,Labor Market Policy,37,Government sponsored training that lasts on average 7.5 months.,NA,NA,Biewen et. al. (2014),https://ideas.repec.org/a/ucp/jlabec/doi10.1086-677233.html
coronavirusLockdown,12088.35611,0,NA,NA,0,0,NA,2019,Inf,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15896.72376,3808.367656,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Inf,NA,Coronavirus Lockdown R=0.6,2020,Health Program,NA,Coronavirus induced lockdown with a reproduction number of R=0.627 compared with a hypothetical no lockdown scenario which would have left the GDP unchanged and resulted in 560000 deaths.,NA,NA,Dorn et. al (2020):Flaxman et al. (2020),https://ideas.repec.org/a/ces/ifosdd/06.html;https://academic.microsoft.com/paper/3032971139
coronavirusLockdownR1,2520.369102,0,NA,NA,0,0,NA,2019,Inf,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,498.788095,-2021.581007,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,#NAME?,NA,Coronavirus Lockdown R=0.6 vs R = 1,2020,Health Program,NA,Coronavirus induced lockdown with a reproduction number of R=0.627 compared with a too lash lockdown which would maintained R=1.,NA,NA,Dorn et. al (2020),https://ideas.repec.org/a/ces/ifosdd/06.html
G8,22414.69014,-1579.109832,NA,-6255.333519,0,0,-1579.109832,2011,Inf,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,28670.02366,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,#NAME?,Inf,#NAME?,G8,2011,Education,18,"Between 2007 and 2013 some German federal states shortened the length of the academic high school track ""Gymnasium"" from 9 to 8 years.",NA,NA,Marcus & Zambre (2019),https://ideas.repec.org/a/uwp/jhriss/v54y2019i2p468-502.html
homeCareSubsidy,1071.703272,458.9202392,NA,NA,1189.546163,0,NA,2013,2.335271318,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,730.6259235,NA,NA,NA,NA,NA,NA,NA,NA,0.385794393,0.900934579,-0.614205607,Home Care Subsidy,2013,Familiy Policy,31.36,"The home care subsidy ""Betreuungsgeld"" was introduced in 2013 and was meant to compensate parents who did not make use of subsidised childcare.",NA,NA,Collischon et al. (2020),https://ideas.repec.org/p/iza/izadps/dp13271.html
