"program","willingness_to_pay","government_net_costs","reform_valuation","net_income_increase","program_cost","tax_revenue_increase","education_cost","prices_year","mvpf","bafoeg_valuation","bafoeg_cost","bafoeg_repayment","private_safer_traffic_valuation","utility_loss_helmet","helmet_cost","co2_emission_reducation","private_health_cost","value_added_tax_loss","public_health_cost","public_safer_traffic_valuation","valuation_lower_risk_of_dying","income_loss","earlier_labor_market_participation_net_income","earlier_labor_market_participation_tax_revenue","child_care_cost_reduction","benefit_receipt","tax_revenue_increase_children","cost_increased_travel_time","private_fuel_cost_saving","energy_tax_loss","local_emission_reduction","fiscal_externality","valuation_reduced_risk","government_net_costs_per_program_cost","willingness_to_pay_per_program_cost","fiscal_externality_per_euro","program_name","year","category","average_age_beneficiary","short_description","average_earnings_beneficiary","notes","Papers","Links"
"bafoeg2001",2348.81202762683,2194.79060157343,2142.68130289325,206.130724733576,2192.90039592981,-88.3417391715327,90.231944815145,2001,1.07017590923844,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.00086196602779,1.07109836451596,0.000861966027787098,"Bafög Refrom 2001",2001,"Education",19.421,"Bafög is a means-tested public German student loan program. Eligible students only have to pay back about 50% of the loan. In 1990, the threshold of parents' income above which students are no longer eligible for Bafög was lowered.",NA,NA,"Baumgartner & Steiner (2006)","https://ideas.repec.org/p/iza/izadps/dp2034.html"
"bafoegRepayment",8113.1112658198,6318.39187914685,NA,2602.96445728601,5510.14680853378,-1115.55619597972,1216.38974312321,1990,1.28404686208151,5510.14680853378,707.411523469582,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.14668303743946,1.47239475602623,0.146683037439458,"Bafög 50% Repayment Reform",1990,"Education",19.81,"Bafög is a means-tested public German student loan program. Until 1990 students had to repay the entire loan. After the reform about 50% of the loan was offered as a grant which does not have to be payed back.",NA,NA,"Baumgartner & Steiner (2004)","https://ideas.repec.org/p/diw/diwwpp/dp444.html"
"BestUpInformationWorkshop",5495.47354890993,1048.61664417857,NA,4107.53956920312,5.95939086294416,-1760.37410108705,1409.13798383293,2013,5.24068884412451,NA,2011.36488125787,-623.430901551066,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,175.960373852793,922.15356825831,174.960373852793,"Best Up College Information Workshop",2013,"Education",19,"A group of researchers  studied the effect of providing information about the benefits of college education to high school students one year prior to graduation.",NA,NA,"Peter et. al. (2018)","https://ideas.repec.org/p/diw/diwwpp/dp1770.html"
"bicycleHelmet",-458720700.856732,-62140813.8136854,NA,NA,NA,NA,NA,2012,7.38195515482141,NA,NA,NA,803955073.547575,-273114492.759317,-324761136.972194,-4885980.35286197,-659914164.319935,-61789274.9742533,107869833.502032,-108221372.341464,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Mandatory Bicycle Helmet Law",2012,"Traffic Regulation",NA,"Potential introduction of a law which would mandate that every bicycle rider has to wear a helmet",NA,NA,"Sieg (2014);Elvik (2013)","https://ideas.repec.org/p/mut/wpaper/21.html;https://academic.microsoft.com/paper/2110952839
"
"bridgingAllowance",28115.2372017869,2724.2653224164,NA,28115.2372017869,14773.6526946108,-12049.3873721944,NA,2003,10.3203006588392,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.184400254881461,1.90306607194326,-0.815599745118539,"Bridging Allowance",2003,"Labor Market Policy",40.17,"The bridging allowance ""Überbrückungsgeld"" was a subsidy equal to the potential unemployment benefit payed to start up founders who would otherwise have been eligible for unemployment benefits. The briding allowance was payed for 6 months.",2189.362,NA,"Caliendo & Künn (2011)","https://ideas.repec.org/a/eee/pubeco/v95y2011i3p311-331.html"
"classRoomTraining",3477.01411554778,4742.64208207259,NA,3477.01411554778,6232.79098873592,-1490.14890666333,NA,2000,0.733138629349885,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.76091787622008,0.557858288819815,-0.23908212377992,"Class Room Training",2000,"Labor Market Policy",37,"Government sponsored training that lasts on average 7.5 months.",NA,NA,"Biewen et. al. (2014)","https://ideas.repec.org/a/ucp/jlabec/doi10.1086-677233.html"
"coronavirusLockdown",11017.7771798112,-1099.60951369982,NA,NA,1133.80112028913,-1133.80112028913,NA,2019,Inf,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13663.3131271525,2645.5359473413,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.969843382602594,9.71755714706082,-1.96984338260259,"Coronavirus Lockdown R=0.6",2020,"Health Program",NA,"Coronavirus induced lockdown with a reproduction number of R=0.627 compared with a hypothetical no lockdown scenario which would have left the GDP unchanged and resulted in 560000 deaths.",NA,NA,"Dorn et. al (2020):Flaxman et al. (2020)","https://ideas.repec.org/a/ces/ifosdd/06.html;https://academic.microsoft.com/paper/3032971139"
"coronavirusLockdownR1",1757.77393863922,-639.675714232407,NA,NA,-569.598467357729,569.598467357729,NA,2019,Inf,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,428.710848137851,-1329.06309050137,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.12302920546777,-3.08598783067875,0.123029205467766,"Coronavirus Lockdown R=0.6 vs R = 1",2020,"Health Program",NA,"Coronavirus induced lockdown with a reproduction number of R=0.627 compared with a too lash lockdown which would maintained R=1.",NA,NA,"Dorn et. al (2020)","https://ideas.repec.org/a/ces/ifosdd/06.html"
"G8",16617.9130595773,-9522.19147502305,NA,-2748.9432639521,0,1178.11854169376,-1397.14268478403,2011,Inf,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,19366.8563235294,-9303.16733193277,NA,NA,NA,NA,NA,NA,NA,NA,NA,-Inf,Inf,-Inf,"G8",2011,"Education",18,"Between 2007 and 2013 some German federal states shortened the length of the academic high school track ""Gymnasium"" from 9 to 8 years.",NA,NA,"Marcus & Zambre (2019)","https://ideas.repec.org/a/uwp/jhriss/v54y2019i2p468-502.html"
"homeCareSubsidy",1044.53531951231,723.533498742825,NA,NA,1159.39086294416,276.247005076142,NA,2013,1.44365854701578,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,712.10436927748,NA,NA,NA,NA,NA,NA,NA,NA,0.624063481840352,0.900934579439252,-0.375936518159648,"Home Care Subsidy",2013,"Familiy Policy",31.36,"The home care subsidy ""Betreuungsgeld"" was introduced in 2013 and was meant to compensate parents who did not make use of subsidised childcare.",NA,NA,"Collischon et al. (2020)","https://ideas.repec.org/p/iza/izadps/dp13271.html"
