"program","willingness_to_pay","government_net_costs","net_income_increase","bafoeg_cost","bafoeg_repayment","program_cost","tax_revenue_increase","education_cost","mvpf","earlier_labor_market_participation_net_income","earlier_labor_market_participation_tax_revenue","benefit_receipt","cost_increased_travel_time","private_safer_traffic_valuation","public_safer_traffic_valuation","private_fuel_cost_saving","value_added_tax_loss","energy_tax_loss","local_emission_reduction","co2_emission_reducation","fiscal_externality","additional_return_value","program_name","year","category","average_age_beneficiary","short_description","average_earnings_beneficiary","notes","Papers","Links"
"BestUpInformationWorkshop",3730.44445895209,-655.579592208293,2363.32948894089,1981.19440803901,-614.0794380278,5.87,-3416.56547629493,1388.00091407544,Inf,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Best Up College Information Workshop",2013,"Education",19,"A group of researchers  studied the effect of providing information about the benefits of college education to high school students one year prior to graduation.",NA,NA,"Peter et. al. (2018)","https://ideas.repec.org/p/diw/diwwpp/dp1770.html"
"bridgingAllowance",22694.3397316841,3507.76662246574,22694.3397316841,NA,NA,12336,-8828.23337753426,NA,6.46974048568014,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Bridging Allowance",2003,"Active Labor Market Policy",40.17,"The bridging allowance ""Überbrückungsgeld"" was a subsidy equal to the potential unemployment benefit payed to start up founders who would otherwise have been eligible for unemployment benefits. The briding allowance was payed for 6 months.",2189.362,NA,"Caliendo & Künn (2011)","https://ideas.repec.org/a/eee/pubeco/v95y2011i3p311-331.html"
"classRoomTraining",2928.9312703331,3940.16801558642,2928.9312703331,NA,NA,4980,-1039.83198441358,NA,0.743351871987922,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Class Room Training",2000,"Active Labor Market Policy",37,"Government sponsored training that lasts on average 7.5 months.",NA,NA,"Biewen et. al. (2014)","https://ideas.repec.org/a/ucp/jlabec/doi10.1086-677233.html"
"G8",18868.4789733816,-3723.71809037466,-2886.48516330424,NA,NA,NA,3145.26012885387,-1330.0798359144,Inf,21754.9641366859,-5538.89838331413,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"G8",2011,"Education",18,"Between 2007 and 2013 some German federal states shortened the length of the academic high school track ""Gymnasium"" from 9 to 8 years.",NA,NA,"Marcus & Zambre (2019)","https://ideas.repec.org/a/uwp/jhriss/v54y2019i2p468-502.html"
"jobCreationSchemes",5949.48886461402,14623.0318076604,5949.48886461402,NA,NA,14886,1.11678694149325e-12,NA,0.406857411162665,NA,NA,-262.968192339587,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Job Creation Schemes",2005,"Active Labor Market Policy",NA,"Job Creation Schemes ""Arbeitsbeschaffungsmaßnahmen"" are comprised of subsizied jobs aimed at  unemployed who would not be able to find a job otherwise. This measure is mostly employed in local labor markets with excess labor supply. The duration of the subsidy (between 900 and 1300€ payed to the employer) is usually limited to 12 months.",NA,NA,"Hohmeyer & Wolff (2010)","https://ideas.repec.org/p/iab/iabdpa/201021.html"
"longTraining",16069.0515469077,4739.80918856702,16069.0515469077,NA,NA,9930,-5190.19081143298,NA,3.39023173879409,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Long Training",1993,"Active Labor Market Policy",35.2,"Government sponsored Training Program lasting longer than 6 months",1396,NA,"Lechner et. al. (2011)","https://ideas.repec.org/a/bla/jeurec/v9y2011i4p742-784.html"
"mentoringBalu",2109.52032967681,2178.80160826266,2109.52032967681,NA,NA,1000,-649.43239263848,1828.23400090114,0.968202117015559,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Mentoring Program Balu und Du",2011,"Education",10,"Elementary School students were assigned mentors who should encourage the acquisition of new ideas and skills.",NA,NA,"Falk et. al. (2020)","https://ideas.repec.org/p/ces/ceswps/_8382.html"
"oneEuroJobs",-288.801527973434,2591.96634562605,-288.801527973434,NA,NA,2530.5,0,NA,-0.111421789276233,NA,NA,61.4663456260542,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"One Euro Jobs",2005,"Active Labor Market Policy",NA,"One Euro Jobs ""Ein Euro Jobs"" are jobs which are assigned to long term unemployed to help them reintegrate into the labor market. These jobs are meant to be unpayed. However, the participants receive a compenstation of at leat one euro per hour worked.",NA,NA,"Hohmeyer & Wolff (2010)","https://ideas.repec.org/p/iab/iabdpa/201021.html"
"practiceFirm",14233.4854501062,1991.6120963533,14233.4854501062,NA,NA,6565,-4573.3879036467,NA,7.14671570642103,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Practice Firm",1993,"Active Labor Market Policy",36,"Government sponsored training that simulates a job",1396,NA,"Lechner et. al. (2011)","https://ideas.repec.org/a/bla/jeurec/v9y2011i4p742-784.html"
"retraining",22406.806676329,13614.2006084132,22406.806676329,NA,NA,20983,-7368.79939158683,NA,1.64584078939473,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Retraining",1993,"Active Labor Market Policy",31,"Government sponsored training to obtain a new professional degree in a field other than the
profession currently held",1396,NA,"Lechner et. al. (2011)","https://ideas.repec.org/a/bla/jeurec/v9y2011i4p742-784.html"
